"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,10403121877000.0,8799684121000.0,8000865934000.0,7886064934000.0,6999361510000.0,7085183801000.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,1257867151000.0,928043107000.0,744148120000.0,2137391421000.0,1314823009000.0,993633434000.0
ifrs-full_OtherCurrentFinancialAssets,단기금융자산,Current financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융자산,131000000000.0,131000000000.0,161000000000.0,151000000000.0,554200000000.0,569170020000.0
ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,Trade and other current receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매출채권및기타채권,1659562960000.0,1386425046000.0,1135986607000.0,1032431186000.0,892052823000.0,1315268078000.0
ifrs-full_CurrentContractAssets,계약자산,Current contract assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,계약자산,3573015733000.0,3458668852000.0,3180079663000.0,2836711441000.0,2624966001000.0,2548128451000.0
ifrs-full_Inventories,재고자산,Current inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,1510905566000.0,1309807342000.0,1377137503000.0,898666745000.0,778986820000.0,816502491000.0
ifrs-full_CurrentDerivativeFinancialAssets,파생상품자산,Current derivative financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,파생상품자산,927288000.0,104488450000.0,106450664000.0,11368268000.0,156620038000.0,34585339000.0
dart_CurrentFirmCommitmentAsset,확정계약자산,Current firm commitment asset,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,확정계약자산,822949357000.0,197198295000.0,218541618000.0,96769053000.0,3047425000.0,51976749000.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,당기법인세자산,45449000.0,5481784000.0,5192928000.0,2447046000.0,3188862000.0,3473870000.0
