"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190601-20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Salse revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,14486453544000.0,11963925991000.0,9045480488000.0,8311275924000.0,8312009823000.0,5456667592000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,12992522670000.0,11309062476000.0,8882619441000.0,8520484596000.0,7837882674000.0,5040235338000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,1493930874000.0,654863515000.0,162861047000.0,-209208672000.0,474127149000.0,416432254000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"Selling, general and administrative expenses",ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,788707391000.0,476223550000.0,452012200000.0,591054105000.0,441618088000.0,286951965000.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,705223483000.0,178639965000.0,-289151153000.0,-800262777000.0,32509061000.0,129480289000.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,963969901000.0,631106222000.0,1139354504000.0,514057441000.0,762180290000.0,293531424000.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,3244079981000.0,1124111388000.0,1591690209000.0,999733145000.0,780590122000.0,262474495000.0
dart_OtherGains,기타영업외수익,Other non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,2543156461000.0,580068983000.0,812715869000.0,471302460000.0,88958743000.0,54844304000.0
dart_OtherLosses,기타영업외비용,Other non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,169933394000.0,231326649000.0,491268710000.0,296165988000.0,643170420000.0,318885972000.0
ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손익,Loss on valuation of equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-198757000.0,-14131000.0,-1444085000.0,-646157000.0,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,798137713000.0,34363002000.0,-421483784000.0,-1111448166000.0,-540112448000.0,-103504450000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,176628293000.0,9673788000.0,-69419162000.0,-297220204000.0,108666550000.0,14559322000.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,621509420000.0,24689214000.0,-352064622000.0,-814227962000.0,-431445898000.0,-88945128000.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-123796740000.0,-109936015000.0,46091087000.0,-20954613000.0,169323077000.0,-5549884000.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,Items that are or may be reclassified subsequently to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,,-6087278000.0,-13035775000.0,555890000.0,7722824000.0,208960000.0,1417235000.0
ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax,파생상품평가손익,Effective portion of changes in fair value of cash flow hedges,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,파생상품평가손익,-5842471000.0,-10298671000.0,525597000.0,7717898000.0,244179000.0,1417235000.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,Exchange differences on translation of foreign operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 세후기타포괄손익:,해외사업환산손익,-244807000.0,-2737104000.0,30293000.0,4926000.0,-35219000.0,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,Items that will not be reclassified to profit or loss:,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,,-117709462000.0,-96900240000.0,45535197000.0,-28677437000.0,169114117000.0,-6967119000.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정금융자산평가손실,Losses from investments in equity instruments,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,기타포괄손익-공정가치측정금융자산평가손실,0.0,-63000.0,-186000.0,-41861000.0,,-459090000.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,보험수리적손익,Remeasurements of defined benefit plans,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,보험수리적손익,-117709462000.0,-97639438000.0,43307734000.0,-28635576000.0,31048904000.0,-4677478000.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,유형자산재평가이익,"Gains on revaluation of property, plant and equipment, right-of-use assets and intangible assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 세후기타포괄손익:,유형자산재평가이익,0.0,739261000.0,2227649000.0,,138065213000.0,-1830551000.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,497712680000.0,-85246801000.0,-305973535000.0,-835182575000.0,-262122821000.0,-94495012000.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,지배기업의 소유주지분,,621509050000.0,24686073000.0,-352064622000.0,-814227962000.0,-431445898000.0,-88945128000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속,비지배지분,,370000.0,3141000.0,0.0,0.0,,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주지분,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속,지배기업의 소유주지분,,497712359000.0,-85241634000.0,-305973535000.0,-835182575000.0,-262122821000.0,-94495012000.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익의 귀속,비지배지분,,321000.0,-5167000.0,0.0,0.0,,
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업의 소유주지분에 대한 주당손익,기본주당이익(손실),,7001.0,278.0,-3966.0,-10713.0,-6096.0,-1416.0
