"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출액,,,1739609163820.0,1788877688439.0,2072550223138.0,1691354877090.0,1397372009900.0,1639715935474.0,1577235683490.0,1550456862874.0,1417444526247.0,1473202476824.0,1341239002725.0,1080621026925.0,1118626320103.0,1128950644522.0,1033055053341.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,-1540059679905.0,-1565623275936.0,-1770462629076.0,1433080796356.0,1232982010500.0,1449203150616.0,1377150595676.0,1309674320843.0,1186193033635.0,1240187336639.0,1125587896462.0,904355612220.0,940096608267.0,911147498131.0,828020455356.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,199549483915.0,223254412503.0,302087594062.0,258274080734.0,164389999400.0,190512784858.0,200085087814.0,240782542031.0,231251492612.0,233015140185.0,215651106263.0,176265414705.0,178529711836.0,217803146391.0,205034597985.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,-173442374071.0,-166937555809.0,-168584128674.0,159747432407.0,154558557417.0,168066429910.0,162065605074.0,201952926330.0,194233906290.0,188665182077.0,175265258467.0,127693466394.0,127278472916.0,116343137053.0,112698976926.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,26107109844.0,56316856694.0,133503465388.0,98526648327.0,9831441983.0,22446354948.0,38019482740.0,38829615701.0,37017586322.0,44349958108.0,40385847796.0,48571948311.0,51251238920.0,101460009338.0,92335621059.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,20377905192.0,12276386363.0,9812526966.0,25561054401.0,22698175879.0,16474399322.0,17028253449.0,21997184718.0,22926860238.0,8667216483.0,295866120357.0,5258284777.0,23909388058.0,8644378680.0,14076200237.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,-8649822012.0,-5737478592.0,-17529700044.0,16472092029.0,6733874370.0,12626382162.0,26837807112.0,25739980834.0,16503489672.0,12813220973.0,15612725995.0,6430099766.0,19171890268.0,5161849272.0,5152132235.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,47826962328.0,37591386378.0,49548077991.0,37256135838.0,26522016746.0,19961071905.0,21282885260.0,35042638709.0,34050485426.0,50639716527.0,29982234801.0,20928193836.0,18228658168.0,19614837775.0,18453331564.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,-32013002601.0,-36156303120.0,-44702695253.0,20353415045.0,39880042013.0,29092645574.0,36626709678.0,43545109604.0,47075603917.0,68101962385.0,46786529309.0,19540740304.0,17088707176.0,18959010996.0,18744499616.0
