"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,Cash flows from (used in) operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,,,123293994310.0,182428406273.0,108670885850.0,39463449669.0,179495196821.0,81755681191.0,124047822571.0,114006978533.0,119167508627.0,200742673806.0,74570423142.0,85039125277.0,120244753636.0,102296235558.0,51081964902.0
ifrs-full_CashFlowsFromUsedInOperations,영업으로부터 창출된 현금흐름,Cash flows from (used in) operations,ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,영업으로부터 창출된 현금흐름,,144217309660.0,207423367031.0,144940600440.0,73327317431.0,197297241881.0,100497497591.0,142623973324.0,133142149562.0,140816735628.0,225629832684.0,95558555064.0,101604748456.0,144624393513.0,121918062739.0,70149024534.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,"Interest received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,이자의 수취,,6154825655.0,5158130214.0,1951053874.0,1897398553.0,2436634457.0,2371458735.0,2400177786.0,2525833253.0,2451137825.0,4336562195.0,4742402737.0,1581519102.0,2041040256.0,1542158189.0,1091359923.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,"Interest paid, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,이자의 지급,,-11233511206.0,-12691547167.0,-10515762723.0,-5808240731.0,-8578813078.0,-13548799986.0,-15578660274.0,-14319997651.0,-12194501195.0,-14161291851.0,-14490616975.0,-5726078044.0,-7247663447.0,-5423327847.0,-5654944596.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금의 수령,"Dividends received, classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,배당금의 수령,,4379822723.0,4325042094.0,10258985958.0,5482808251.0,879504979.0,985601917.0,1170589453.0,1523934448.0,525216316.0,898893930.0,579082274.0,653077179.0,855695915.0,850565749.0,758678767.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,"Income taxes paid (refund), classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동으로 인한 현금흐름,법인세의 납부,,-20224452522.0,-21786585899.0,-37963991699.0,-35435833835.0,12539371418.0,8550077066.0,6568257718.0,8864941079.0,12431079947.0,15961323152.0,-11818999958.0,-13074141416.0,-20028712601.0,-16591223272.0,-15262153726.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,,,-130356438780.0,-52867935567.0,-73985889011.0,-1743557004.0,-50035073476.0,-73753120808.0,-52641139321.0,-93578563820.0,-157014390825.0,-155414803838.0,-64397891820.0,-86780997354.0,-157513021452.0,-115807783853.0,-102882982395.0
ifrs-full_InflowsOfCashFromInvestingActivities,투자활동으로부터의 현금유입액,Inflows of cash from investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유입액,,172148819302.0,136049448314.0,162257965777.0,,,,,,,,,,,,
dart_ProceedsFromSalesOfFinancialInstruments,금융기관예치금의 감소,"Proceeds from sales of deposits, not classified as cash equivalents",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유입액,금융기관예치금의 감소,19586896136.0,89687932132.0,4014169471.0,7585263000.0,15362267964.0,33895946573.0,14229826550.0,11350804834.0,14952736196.0,45398171283.0,22445449567.0,5465929000.0,13455724506.0,15215507825.0,22571914440.0
