"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_GrossProfit,영업수익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,236186554886.0,161143328758.0,214423954452.0,369329230873.0,70510663671.0,37596925140.0,35707620107.0,17160373945.0,15021977170.0,19546497009.0,69496102213.0,61302554136.0
dart_TotalSellingGeneralAdministrativeExpenses,영업비용,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업비용,,,209001458165.0,209136103095.0,234334817884.0,312674788335.0,76633885273.0,59782653155.0,48029678514.0,31961052521.0,27344810330.0,23680974785.0,36469657754.0,37209110478.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,27185096721.0,-47992774337.0,-19910863432.0,56654442538.0,-6123221602.0,-22185728015.0,-12322058407.0,-14800678576.0,-12322833160.0,-4134477776.0,33026444459.0,24093443658.0
dart_OtherGains,기타영업외수익,Other gains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외수익,,,817637961.0,256780402.0,415027918.0,488719715.0,355247818.0,184254443.0,99906482.0,7095605.0,17777818.0,25743746.0,3402526.0,7412362.0
dart_OtherLosses,기타영업외비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업외비용,,,534664016.0,1236608135.0,349000636.0,1596350711.0,6638731492.0,505069230.0,2519737503.0,2841126636.0,1051378472.0,210475718.0,-80024601.0,-86138775.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,31818268945.0,34754166207.0,33617808117.0,34064332871.0,6608009695.0,24575002605.0,5298963399.0,4477964131.0,4327184941.0,3439690720.0,1808261880.0,194998481.0
ifrs-full_FinanceCosts,금융비용,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,31249395386.0,35669405502.0,23125583053.0,20830508231.0,1889095775.0,14558503667.0,6475477348.0,1110541633.0,37738448.0,26727685.0,-136048570.0,-428294036.0
entity01008762_udf_IS_202054135738529_StatementOfComprehensiveIncomeAbstract,지분법손익,share of profit (loss) of associates and joint ventures accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,-252070513.0,343212120.0,-456047810.0,-416024290.0,-1510050500.0,-264318072.0,-2905949075.0,-4536147052.0,-629929720.0,-35903602.0,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,27784873712.0,-49544629245.0,-9808658896.0,68364611892.0,-9197841856.0,-12754361936.0,-18824352452.0,-18803434161.0,-9696917041.0,-942150315.0,34622035694.0,23781421690.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,-486457216.0,176599783.0,-3115546020.0,7987488470.0,3294699141.0,-1143928477.0,437089749.0,153103408.0,-389051419.0,20223069.0,3319382591.0,1454954373.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,28271330928.0,-49721229028.0,-6693112876.0,60377123422.0,-5903142715.0,-13898290413.0,-18387262703.0,-18956537569.0,-10085968460.0,-921927246.0,31302653103.0,22326467317.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-11964187551.0,-3283605203.0,18041587740.0,-1389937347.0,-475702354.0,-773397992.0,-336009619.0,6191144070.0,-32746850.0,-353658153.0,-150761384.0,-143359985.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,324214341.0,40618374.0,18149849.0,81682275.0,-248894287.0,36192971.0,157933174.0,6029393431.0,,,,
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산손익,"Gains (losses) on exchange differences on translation of foreign operations, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,해외사업장환산손익,324214341.0,40618374.0,18149849.0,81682275.0,-248894287.0,36192971.0,157933174.0,-130169849.0,,,,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 없는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 없는 항목,,-12288401892.0,-3324223577.0,18023437891.0,-1471619622.0,-226808067.0,-809590963.0,-493942793.0,161750639.0,-32746850.0,-353658153.0,-150761384.0,-143359985.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 없는 항목,확정급여제도의 재측정요소,-729927315.0,401677303.0,165616768.0,-844038294.0,131625202.0,-367528132.0,-493942793.0,161750639.0,-32746850.0,-353658153.0,-150761384.0,-143359985.0
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익-공정가치금융자산평가손실,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 없는 항목,기타포괄손익-공정가치금융자산평가손실,-11558474577.0,-3725900880.0,17856547948.0,-627581328.0,-358433269.0,,,,,,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,지분법자본변동,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 없는 항목,지분법자본변동,,,1273175.0,,,-442062831.0,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,16307143377.0,-53004834231.0,11348474864.0,58987186075.0,-6378845069.0,-14671688405.0,-18723272322.0,-12765393499.0,-10118715310.0,-1275585399.0,31151891719.0,22183107332.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주,,27970756229.0,-49596264298.0,-6692765112.0,60399364236.0,-5892972038.0,-13227136639.0,-18035417630.0,-18721964857.0,-10085968460.0,-921927246.0,31302653103.0,22326467317.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분,,300574699.0,-124964730.0,-347764.0,-22240814.0,-10170677.0,-671153775.0,-351845073.0,-234572712.0,,,,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],지배기업의 소유주,,16024673061.0,-52894658698.0,11348822628.0,59009426889.0,-6368674392.0,-14000534631.0,-18371427249.0,-12530820787.0,-10118715310.0,-1275585399.0,31151891719.0,22183107332.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],비지배지분,,282470316.0,-110175533.0,-347764.0,-22240814.0,-10170677.0,-671153775.0,-351845073.0,-234572712.0,,,,
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,기본주당이익(손실),,2595.0,-4645.0,-632.0,5918.0,-591.0,-1335.0,-1814.0,-1897.0,-1030.0,-90.0,3772.0,3633.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익,희석주당이익(손실),,2541.0,-4645.0,-632.0,5637.0,-591.0,-1335.0,-1814.0,-1897.0,-1030.0,-90.0,3196.0,2636.0
