"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,88106893926.0,93943647007.0,152899971903.0,63924994708.0,66997024066.0,77228037401.0,111130620024.0,114981290071.0,23231526760.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,38551426429.0,11221730011.0,117927228497.0,34098851112.0,43116334022.0,55094431969.0,81724719998.0,89161251179.0,5549962963.0
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,"Short-term deposits, not classified as cash equivalents",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융상품,20000000000.0,60000000000.0,4880000000.0,3014149220.0,1044933270.0,,2000000000.0,0.0,0.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,유동성당기손익-공정가치측정금융자산,"Current financial assets at fair value through profit or loss, mandatorily measured at fair value",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,유동성당기손익-공정가치측정금융자산,1025286301.0,4141038767.0,12709309475.0,,35889960.0,,0.0,,
dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매출채권,15028443768.0,7308529288.0,6915616694.0,9022031633.0,6928306977.0,6638702475.0,6803139831.0,7704254395.0,5462480774.0
ifrs-full_TradeAndOtherCurrentReceivables,기타채권,Trade and other current receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,기타채권,1392916359.0,3270315683.0,898160590.0,1286807814.0,2046287719.0,2447091810.0,2314648850.0,1029261403.0,850566498.0
dart_ShortTermAdvancePayments,선급금,Short-term advance payments,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,선급금,474818895.0,273753880.0,208311312.0,385859249.0,126716867.0,807316610.0,453947003.0,394339770.0,203701344.0
dart_ShortTermPrepaidExpenses,선급비용,Short-term prepaid expenses,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,선급비용,167062155.0,282846556.0,221148130.0,91776331.0,155256633.0,196804113.0,314650830.0,168645470.0,22098274.0
ifrs-full_Inventories,재고자산,Current inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,11466940019.0,7445432822.0,9140197205.0,16025519349.0,13543298618.0,12043690424.0,17519513512.0,16523537854.0,11142716907.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,,119476421166.0,102304094929.0,65327220730.0,99163549143.0,88459115587.0,82922652173.0,42769780913.0,25551187052.0,23162035846.0
ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 공동기업과 관계기업에 대한 투자자산","Investments in subsidiaries, joint ventures and associates reported in separate financial statements",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,"종속기업, 공동기업과 관계기업에 대한 투자자산",4174561716.0,,,,,,,,
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치측정금융자산,"Non-current financial assets at fair value through profit or loss, mandatorily measured at fair value",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,당기손익-공정가치측정금융자산,5305519950.0,6335029647.0,1750000000.0,1900000000.0,1700000000.0,1300000000.0,600000000.0,0.0,0.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,유형자산,102137163612.0,89174447424.0,61094324457.0,89993737092.0,81384831332.0,73630074670.0,38533278088.0,22763924037.0,21404486171.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,사용권자산,1117301707.0,1636670305.0,842752556.0,885622264.0,654221260.0,943911758.0,0.0,0.0,
ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets other than goodwill,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,무형자산,2896236619.0,2585859676.0,1334557399.0,2489200043.0,2091703724.0,4795578239.0,1163541576.0,691509806.0,521747033.0
dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기기타채권,"Long-term trade and other non-current receivables, gross",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,장기기타채권,1472115600.0,993842320.0,302397540.0,410646080.0,786633241.0,584170103.0,287110000.0,217511600.0,187236508.0
dart_LongTermPrepaidExpenses,"장기선급비용, 총액","Long-term prepaid expenses, gross",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,"장기선급비용, 총액",5325114.0,13699908.0,3188778.0,59108996.0,67251934.0,,0.0,,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,이연법인세자산,2368196848.0,1564545649.0,,2545234668.0,1774474096.0,1668917403.0,2185851249.0,1878241609.0,1048566134.0
ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,207583315092.0,196247741936.0,218227192633.0,163088543851.0,155456139653.0,160150689574.0,153900400937.0,140532477123.0,46393562606.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,12039829928.0,7097592195.0,23843663613.0,10801878622.0,12053440686.0,11689538839.0,12000644794.0,19330852496.0,10675892239.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무,2485994504.0,1371314607.0,1100726288.0,2926794083.0,3195769052.0,2183068175.0,1635230411.0,2929202148.0,1995567273.0
ifrs-full_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타채무,5709043452.0,3789133370.0,8774204740.0,5653340309.0,4599139640.0,6591438290.0,5830874303.0,5633469266.0,1914353176.0
