"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Sales,포괄손익계산서 [개요],매출액,,,62858211721.0,38585601757.0,53990901173.0,49032633511.0,72741604972.0,72495382482.0,100499215808.0,,48134322021.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,33739191087.0,23919325815.0,32383886571.0,28850643227.0,47711776189.0,42208103569.0,47504108924.0,,36408928062.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,29119020634.0,14666275942.0,21607014602.0,20181990284.0,25029828783.0,30287278913.0,52995106884.0,,11725393959.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,25000816538.0,22289547461.0,19053354065.0,17684019123.0,24882958980.0,21726312970.0,19169261612.0,,8626549546.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [개요],영업이익(손실),,,4118204096.0,-7623271519.0,2553660537.0,2497971161.0,146869803.0,8560965943.0,33825845272.0,,3098844413.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [개요],기타수익,,,1800846544.0,706593089.0,1253153420.0,3255837224.0,1508252970.0,1748945490.0,1442719539.0,,651965417.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [개요],기타비용,,,153848408.0,429400547.0,1223130438.0,422068913.0,5180826512.0,793673833.0,778151481.0,,466533058.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,3154903650.0,4278657208.0,522631580.0,331149081.0,496013471.0,1255915704.0,1410654982.0,,44505953.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [개요],금융비용,,,2012796070.0,80880519.0,26365361.0,41606458.0,55258012.0,29281881.0,86.0,,287429089.0
dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Adjustments for profits of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법이익,,,2191262469.0,,,,,,,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익(손실),,,9098572281.0,-3148302288.0,3079949738.0,5621282095.0,-3084948280.0,10742871423.0,35901068226.0,,3041353636.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,3032658335.0,-1005594010.0,1352961110.0,-1280434418.0,-393917145.0,-2892932803.0,-7106455135.0,,-115611055.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업손익,Profit (loss) from continuing operations,포괄손익계산서 [개요],계속영업손익,,,6065913946.0,-2142708278.0,1726988628.0,6901716513.0,-3478865425.0,7849938620.0,28794613091.0,29806484666.0,2925742581.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손익,Profit (loss) from discontinued operations,포괄손익계산서 [개요],중단영업손익,,,-550511750.0,-213942401.0,41967409003.0,822672385.0,,,,,
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,5515402196.0,-2356650679.0,43694397631.0,7724388898.0,-3478865425.0,7849938620.0,28794613091.0,29806484666.0,2925742581.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],기타포괄손익,,,171034418.0,-581219211.0,671021983.0,1104332270.0,630491251.0,-1179183990.0,-569006158.0,-354719095.0,-218327227.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익:,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익:,,-127977088.0,-584019457.0,680809901.0,1099330268.0,637204102.0,-1201362394.0,-554702519.0,-354719095.0,-218327227.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여채무의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익:,순확정급여채무의 재측정요소,-127977088.0,-584019457.0,680809901.0,1099330268.0,637204102.0,-1201362394.0,-554702519.0,-354719095.0,-218327227.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익:,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익:,,299011506.0,2800246.0,-9787918.0,5002002.0,-6712851.0,22178404.0,-14303639.0,0.0,0.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,"Gains (losses) on exchange differences on translation of foreign operations, net of tax",포괄손익계산서 [개요],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익:,해외사업환산손익,299011506.0,2800246.0,-9787918.0,5002002.0,-6712851.0,22178404.0,-14303639.0,0.0,0.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [개요],총포괄손익,,,5686436614.0,-2937869890.0,44365419614.0,8828721168.0,-2848374174.0,6670754630.0,28225606933.0,29451765571.0,2707415354.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순손익의 귀속:,지배기업 소유주지분,,5515402196.0,-2356650679.0,43694397631.0,7973493429.0,-1640624186.0,8229760581.0,28769929338.0,,2925742581.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [개요],총포괄손익의 귀속:,지배기업 소유주지분,,5686436614.0,-2937869890.0,44365419614.0,9078419016.0,-1006705096.0,7039251449.0,28208227166.0,29451765571.0,2925742581.0
ifrs-full_BasicEarningsLossPerShare,기본주당손익,Basic earnings (loss) per share,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,기본주당손익,,560.0,-240.0,4453.0,816.0,-168.0,834.0,2888.0,,373.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,기본주당손익,계속영업기본주당이익(손실),616.0,-218.0,176.0,732.0,-168.0,824.0,2832.0,,
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,기본주당손익,중단영업기본주당이익(손실),-56.0,-22.0,4277.0,84.0,,,,,
ifrs-full_DilutedEarningsLossPerShare,희석주당손익,Diluted earnings (loss) per share,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,희석주당손익,,560.0,-240.0,4452.0,814.0,-168.0,824.0,2832.0,,368.0
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,계속영업희석주당이익(손실),Diluted earnings (loss) per share from continuing operations,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,희석주당손익,계속영업희석주당이익(손실),616.0,-218.0,176.0,730.0,-168.0,824.0,2832.0,,
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,중단영업희석주당이익(손실),Diluted earnings (loss) per share from discontinued operations,포괄손익계산서 [개요],지배기업 소유주지분에 대한 주당손익,희석주당손익,중단영업희석주당이익(손실),-56.0,-22.0,4276.0,84.0,,,,,
