"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,9672692791.0,-9459858517.0,4927223977.0,12313864898.0,12596738320.0,14879225026.0,24703094214.0,38425504235.0,-1316450989.0
entity00652007_udf_CF_202284161448182_CashFlowsFromUsedInOperatingActivities,영업에서 창출된 현금흐름,Cash flow generated from operations,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,6524915247.0,1328351982.0,5131993190.0,12516430438.0,12157886259.0,17953509999.0,,,
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자수취,4323581479.0,1507033094.0,461616026.0,326491572.0,537829162.0,1308348623.0,1315426131.0,182010217.0,49898171.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,"Interest paid, classified as operating activities",현금흐름표 [개요],영업활동현금흐름,이자지급,-73040401.0,-80813071.0,-34455667.0,-41426759.0,-33798649.0,,-86.0,-311707963.0,-287429089.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,"Income taxes paid (refund), classified as operating activities",현금흐름표 [개요],영업활동현금흐름,법인세의 납부,-1102763534.0,-12214430522.0,-631929572.0,-487973563.0,-65178452.0,-4382633596.0,-12998908813.0,-701716606.0,-1012604247.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,18605129610.0,-91570870037.0,80787454619.0,-19849805976.0,-19636358093.0,-35659469501.0,-23958528967.0,-4071341958.0,-3868767850.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 처분,83000000000.0,44880000000.0,8014672480.0,1034000000.0,10367831806.0,14002747500.0,13000000000.0,1000000000.0,400000000.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 취득,-43000000000.0,-100000000000.0,-9880523260.0,-3003215950.0,11332059682.0,12000000000.0,15000000000.0,1000000000.0,0.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Proceeds from sales of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 처분,,,880000000.0,,,,,,
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 취득,,,,-880000000.0,,,,,
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치측정금융자산의 처분,Proceeds from sales of fair value financial asset,현금흐름표 [개요],투자활동현금흐름,당기손익-공정가치측정금융자산의 처분,5132423236.0,4470000000.0,151686144.0,,230000000.0,,0.0,,
dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치측정금융자산의 취득,Purchase of fair value financial asset,현금흐름표 [개요],투자활동현금흐름,당기손익-공정가치측정금융자산의 취득,-2300000000.0,-13100022000.0,-1920000.0,-200000000.0,680715670.0,700000000.0,600000000.0,0.0,0.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금및수취채권의 처분,Proceeds from sales of short-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,단기대여금및수취채권의 처분,17000000.0,280000000.0,10000000.0,1500000000.0,,327000000.0,0.0,0.0,
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금및수취채권의 취득,Purchase of short-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,단기대여금및수취채권의 취득,-26000000.0,-20000000.0,-290000000.0,,,300000000.0,1500000000.0,0.0,0.0
dart_ProceedsFromSalesOfLongTermLoansAndReceivables,장기대여금및수취채권의 처분,Proceeds from sales of long-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,장기대여금및수취채권의 처분,60000000.0,,,40733903.0,,,,,
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 대여,Purchase of long-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,장기대여금의 대여,-360000000.0,-300000000.0,,,,,,,
dart_GainsOnSaleOfInvestmentsInSubsidiaries,종속기업투자주식처분이익,Gains on sale of investments in subsidiaries,현금흐름표 [개요],투자활동현금흐름,종속기업투자주식처분이익,,8813098651.0,103647375578.0,264121936.0,,,,,
ifrs-full_PurchaseOfInterestsInAssociates,관계기업투자자산의 취득,Purchase of interests in associates,현금흐름표 [개요],투자활동현금흐름,관계기업투자자산의 취득,-1683880000.0,,,,,,,,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 처분,64858080.0,5388000.0,150185853.0,3606832421.0,1023405909.0,720000.0,10943000.0,21481818.0,126000000.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment, classified as investing activities",현금흐름표 [개요],투자활동현금흐름,유형자산의 취득,-21823472190.0,-34680227760.0,-21582347735.0,-22035711107.0,-18763190307.0,-36341236748.0,-19278437959.0,-3839141895.0,-4611640388.0
ifrs-full_BorrowingCostsCapitalised,자본화된 차입원가,Borrowing costs capitalised,현금흐름표 [개요],투자활동현금흐름,자본화된 차입원가,,-114332534.0,,,,,,,
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 처분,,20900000.0,,250000000.0,644545455.0,,0.0,,
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 취득,-237563116.0,-1555285450.0,-617739855.0,-905284370.0,-304434938.0,-1048698697.0,-668865608.0,-266728300.0,-131707462.0
dart_ProceedsFromSalesOfLoansAndReceivables,장기기타채권의 감소,Proceeds from sales of loans and receivables,현금흐름표 [개요],투자활동현금흐름,장기기타채권의 감소,22513600.0,34330428.0,187824000.0,454910949.0,53570000.0,26500000.0,91806600.0,64851428.0,49680000.0
dart_PurchaseOfLoansAndReceivables,장기기타채권의 증가,Purchase of loans and receivables,현금흐름표 [개요],투자활동현금흐름,장기기타채권의 증가,-268220000.0,-425770600.0,-304522442.0,-166231232.0,176604817.0,199884430.0,161405000.0,95243009.0,0.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수취,Proceeds from government grants,현금흐름표 [개요],투자활동현금흐름,정부보조금의 수취,7470000.0,121051228.0,422763856.0,190037474.0,113630000.0,,147430000.0,43438000.0,298900000.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [개요],재무활동현금흐름,,-1016015555.0,-5670179243.0,-1814422339.0,-1592049247.0,-4536950298.0,-5710017532.0,-8071420390.0,50190672900.0,1981720000.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 증가,,26812058117.0,500000000.0,1200000000.0,600000000.0,500000000.0,1000000.0,3011000000.0,6651000000.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 상환,,-27312058117.0,,-2172374998.0,612658499.0,528000000.0,1000000.0,8011000000.0,6651000000.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 상환,-56000000.0,-56000000.0,-56000000.0,,,500000000.0,0.0,982000000.0,0.0
entity00652007_PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivitiesOfCashFlowsFromUsedInFinancingActivities,유동리스부채의 감소,"Payments of lease liabilities, classified as financing activities",현금흐름표 [개요],재무활동현금흐름,유동리스부채의 감소,-960015555.0,-890218043.0,-648399939.0,-723455693.0,840633352.0,581881258.0,0.0,0.0,
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [개요],재무활동현금흐름,자기주식의 처분,,240790000.0,,,,,,,
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [개요],재무활동현금흐름,임대보증금의 감소,,,-40000000.0,,,,,,
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [개요],재무활동현금흐름,배당금지급,,-4464751200.0,-1570022400.0,-27463879.0,-1611804944.0,-5641405500.0,-6057995400.0,-0.0,-0.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산의 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [개요],현금및현금성자산의 환율변동효과,,67889572.0,-4590689.0,-71878872.0,110507415.0,-401527876.0,-140026022.0,-109676038.0,-933546961.0,893896.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [개요],현금및현금성자산의 증가(감소),,27329696418.0,-106705498486.0,83828377385.0,-9017482910.0,-11978097947.0,-26630288029.0,-7436531181.0,83611288216.0,-3202604943.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [개요],기초의 현금및현금성자산,,11221730011.0,117927228497.0,34098851112.0,43116334022.0,55094431969.0,81724719998.0,89161251179.0,5549962963.0,8752567906.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [개요],기말의 현금및현금성자산,,38551426429.0,11221730011.0,117927228497.0,34098851112.0,43116334022.0,55094431969.0,81724719998.0,89161251179.0,5549962963.0
