"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,영업수익,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업수익,,,4245092707610.0,4321987308635.0,3976784541043.0,3348421188752.0,2970332347975.0,3389454157211.0,3456881745863.0,3366358640608.0,3828534482782.0,3520556096870.0,3272703212039.0,3105869137090.0,3010644186448.0,2583888853584.0,2082372325465.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,3768399892874.0,3817969083055.0,3649631948200.0,3088364638239.0,2779705040921.0,3126039657411.0,3196412850392.0,3097824862055.0,3460794321976.0,3164929211646.0,2839643488626.0,2675067061947.0,2603119930337.0,2210895137999.0,1744593728030.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,476692814736.0,504018225580.0,327152592843.0,260056550513.0,190627307054.0,263414499800.0,260468895471.0,268533778553.0,367740160806.0,355626885224.0,433059723413.0,430802075143.0,407524256111.0,372993715585.0,337778597435.0
ifrs-full_SellingExpense,판매비,Selling expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비,,,81627027917.0,76236239851.0,65304512940.0,68555228855.0,51484945830.0,59527968687.0,71872975862.0,83184890782.0,107356850294.0,97539156620.0,90725806760.0,96504114892.0,90194321412.0,88655330004.0,62747256072.0
ifrs-full_GeneralAndAdministrativeExpense,일반관리비,General and administrative expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,144418700957.0,132418986697.0,122693151280.0,91457987915.0,100988570127.0,98043024769.0,90347683734.0,104082414203.0,107628651961.0,96348133709.0,-131012273233.0,-101895061885.0,-102371716802.0,-97341935705.0,-100588156464.0
ifrs-full_ResearchAndDevelopmentExpense,연구와 개발 비용,Research and development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,연구와 개발 비용,,,44764447694.0,38634339884.0,36361281154.0,22394860694.0,32887194815.0,32488719490.0,22855045146.0,20428877256.0,21202923420.0,16274319114.0,18288270571.0,18922449792.0,14874860112.0,12497639657.0,12253226372.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,205882638168.0,256728659148.0,102793647469.0,77648473049.0,5266596282.0,73354786854.0,75393190729.0,60837596312.0,131551735131.0,145465275781.0,193033372849.0,213480448574.0,200083357785.0,174498810219.0,162189958527.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,15179007948.0,10215024223.0,7932701751.0,5289736996.0,5409848346.0,6661456231.0,6308906560.0,4525616534.0,5372684773.0,5878456199.0,5230677099.0,5168366279.0,6280959658.0,7567938299.0,7663178354.0
ifrs-full_FinanceCosts,금융원가,Finance costs,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융원가,,,82007333852.0,75613458844.0,44648441174.0,33355447220.0,39496118914.0,48079227510.0,45449095571.0,41483655537.0,33447721542.0,26368288939.0,28290739243.0,28060692895.0,38467904031.0,34793778228.0,22787076059.0
