"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,,415643728176.0,375424338839.0,199960824518.0,254140827676.0,328323165046.0,382712421472.0,270882246005.0,338668473485.0,294663584661.0,274702356093.0,201207322867.0,314191088544.0,265541991015.0,94212821158.0,270333272479.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익(손실),,135061912598.0,175705270904.0,38511491705.0,39036280685.0,-62879112831.0,29501513524.0,18546014189.0,29281955526.0,38892367645.0,39781359609.0,130526105024.0,153403042876.0,160914572628.0,75497138843.0,159294919172.0
ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,,348189333378.0,334471836213.0,352426447233.0,296499804450.0,332609935153.0,326276012535.0,322455912394.0,254756525709.0,298285460969.0,271300349735.0,215704780871.0,211646284895.0,177673663828.0,219669590156.0,137825883777.0
ifrs-full_AdjustmentsForIncomeTaxExpense,법인세비용 조정,Adjustments for income tax expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,법인세비용 조정,57206163623.0,42712706954.0,27151973792.0,27002640688.0,24050696563.0,25516570430.0,9843478154.0,33637226352.0,49247042415.0,41955422640.0,43457222460.0,51138714825.0,47420659486.0,65305550025.0,41220852559.0
ifrs-full_AdjustmentsForFinanceIncome,금융수익에 대한 조정,Adjustments for finance income,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,금융수익에 대한 조정,-15179396803.0,-10216057891.0,-7937664385.0,-5290944173.0,-5409848346.0,6661456231.0,6308906560.0,-4525616534.0,-5372684773.0,-5878456199.0,-5230677099.0,-5168366279.0,-6280959658.0,-7567938299.0,-7663178354.0
ifrs-full_AdjustmentsForFinanceCosts,금융원가의 조정,Adjustments for finance costs,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,금융원가의 조정,82007333851.0,75648875804.0,44959792857.0,33668147249.0,39496118914.0,48079227510.0,45449095571.0,41483655537.0,33447721542.0,26368288939.0,28290739243.0,28060692895.0,38467904031.0,34793778228.0,22787076059.0
dart_AdjustmentsForGainLossOnForeignExchangeTranslations,외화환산손익,Adjustments for gain (loss) on foreign exchange translations,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,외화환산손익,-21736828176.0,21581582937.0,23727547993.0,-5395880402.0,18306558703.0,7358781257.0,24731125958.0,,,8426422957.0,,,,,
dart_AdjustmentsForWritedownsOfInventories,재고자산평가손실 조정,Adjustments for write-downs of inventories,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,재고자산평가손실 조정,1637907975.0,174988610.0,5974936640.0,371435734.0,,2604731019.0,0.0,,,,,,,,
ifrs-full_AdjustmentsForGainLossOnDisposalsPropertyPlantAndEquipment,유형자산처분이익(손실)에 대한 조정,"Adjustments for gain (loss) on disposals, property, plant and equipment",현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분이익(손실)에 대한 조정,2515401000.0,-23047271982.0,-1478266282.0,-5199214037.0,-11357209422.0,-1670618571.0,-1254611593.0,,,,-5488597435.0,-1557645634.0,715577429.0,-721703480.0,675771582.0
