"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue,포괄손익계산서 [개요],수익(매출액),,,31702268070.0,29812771015.0,27685710222.0,29089193742.0,21152350538.0,22351230199.0,20026268449.0,29575767705.0,23086797282.0,20853634726.0,14760149641.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,15140825503.0,14162523907.0,13567288844.0,15130532629.0,11393917568.0,13886739841.0,16295676995.0,16650750004.0,13917216409.0,10074560309.0,7094699675.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,16561442567.0,15650247108.0,14118421378.0,13958661113.0,9758432970.0,8464490358.0,3730591454.0,12925017701.0,9169580873.0,10779074417.0,7665449966.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,13287513719.0,12304367389.0,11635884816.0,10546288721.0,8768033932.0,11450477370.0,16909992156.0,12765533170.0,15902249059.0,8988907057.0,5409414635.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [개요],영업이익,,,3273928848.0,3345879719.0,2482536562.0,3412372392.0,1514932447.0,-3373994418.0,-13179400702.0,159484531.0,-6732668186.0,1790167360.0,2256035331.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,2316840428.0,1072837307.0,1454515123.0,311630681.0,127286055.0,30364242.0,27814843.0,49267905.0,89962924.0,193636766.0,213273197.0
ifrs-full_FinanceCosts,금융비용,Finance costs,포괄손익계산서 [개요],금융비용,,,2230294640.0,540217178.0,1409158441.0,883494075.0,722522754.0,922270160.0,834698123.0,700794721.0,3842586523.0,649088551.0,221449283.0
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [개요],기타수익,,,272943600.0,250717208.0,941203954.0,730169215.0,854542257.0,642091438.0,1027311510.0,550548236.0,596897590.0,286760139.0,197657971.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [개요],기타비용,,,133750821.0,271194180.0,617200562.0,1033901647.0,1032201308.0,369912147.0,6131506913.0,1157568650.0,4885290701.0,289596649.0,198307622.0
entity01047451_udf_IS_2025318151811592OfStatementOfComprehensiveIncomeAbstract,지분법관련이익（손실）,"Other income (expense) from subsidiaries, jointly controlled entities and associates",포괄손익계산서 [개요],지분법관련이익（손실）,,,-200825783.0,0.0,0.0,,,,,,,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전순이익,,,3298841632.0,3858022876.0,2851896636.0,2536776566.0,745136697.0,-3989480484.0,-19090479385.0,-1099062699.0,-14773684896.0,1331879065.0,2247209594.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),포괄손익계산서 [개요],법인세비용(수익),,,146942827.0,-1311767664.0,39051982.0,65181400.0,-13565670.0,661058004.0,-901690242.0,-17043002.0,-96008987.0,804624111.0,-120358128.0
ifrs-full_ProfitLoss,당기순이익,Profit,포괄손익계산서 [개요],당기순이익,,,3151898805.0,5169790540.0,2812844654.0,2471595166.0,758702367.0,-3328422480.0,-19992169627.0,-1116105701.0,-14869693883.0,2136503176.0,2126851466.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],기타포괄손익,,,256123312.0,25095072.0,1890241889.0,695394115.0,-25019258.0,2879304870.0,-163908609.0,181741649.0,-51426605.0,-59925470.0,-1369752.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,0.0,6453072.0,1830227651.0,642869536.0,6867120.0,2848350903.0,-25417100.0,,,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,재평가잉여금(유형자산),"Other comprehensive income, net of tax, gains (losses) on revaluation of property, plant and equipment, right-of-use assets and intangible assets",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),재평가잉여금(유형자산),0.0,6453072.0,1890974467.0,694118853.0,0.0,2517168115.0,0.0,0.0,,,
entity01047451_udf_IS_201811915655793_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익-공정가치 측정 금융자산 평가손익,Gains (losses) on financial assets measured at fair value through other comprehensive income,포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),기타포괄손익-공정가치 측정 금융자산 평가손익,0.0,0.0,-60746816.0,-51249317.0,6867120.0,-43158402.0,-25417100.0,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,256123312.0,18642000.0,60014238.0,52524579.0,-31886378.0,30953967.0,-138491509.0,181741649.0,-51426605.0,-59925470.0,-1369752.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이(세후기타포괄손익),"Gains (losses) on exchange differences on translation of foreign operations, net of tax",포괄손익계산서 [개요],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),256123312.0,18642000.0,60014238.0,52524579.0,-31886378.0,30953967.0,-138491509.0,181741649.0,-51426605.0,-21988357.0,-11900979.0
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [개요],총포괄손익,,,3408022117.0,5194885612.0,4703086543.0,3166989281.0,733683109.0,-449117610.0,-20156078236.0,-934364052.0,-14921120488.0,2076577706.0,2125481714.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,3151898805.0,5169790540.0,2812844654.0,2471595166.0,758702367.0,-3328422480.0,-19992169627.0,-1116105701.0,-14869693883.0,2136503176.0,2126851466.0
