"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,4499635393.0,3471660631.0,50805068.0,2928479594.0,4226695746.0,3686085861.0,-6897734040.0,-4302516423.0,-6225925731.0,-1245011433.0,1566489879.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익(손실),3151898805.0,5169790540.0,2812844654.0,2471595166.0,758702367.0,-3328422480.0,-19992169627.0,-1116105701.0,-14869693883.0,2136503176.0,
ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,2392051019.0,284399934.0,2012883863.0,2356222008.0,2276680270.0,2758043728.0,15101085525.0,2577526724.0,12387259116.0,1098031750.0,
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,-1544329575.0,-1886281443.0,-4655483182.0,-1599005591.0,1825390965.0,5114407672.0,-1209799522.0,-5302011975.0,-2928304933.0,-4325021776.0,
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자수취,720354636.0,161635982.0,114419154.0,93583794.0,58415583.0,21982879.0,27651813.0,24204796.0,147947863.0,73814230.0,116915067.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),"Interest paid, classified as operating activities",현금흐름표 [개요],영업활동현금흐름,이자지급(영업),-243215302.0,-257884382.0,-250500581.0,-362280797.0,-688201060.0,-880932767.0,-815307155.0,-506869050.0,-824354461.0,-200279135.0,-8355580.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세환급(납부),Income taxes refund (paid),현금흐름표 [개요],영업활동현금흐름,법인세환급(납부),22875810.0,,16641160.0,-31634986.0,-4292379.0,1006829.0,-9195074.0,20738783.0,-138779433.0,-28059678.0,-167970990.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,-594133831.0,-13970668084.0,2226215032.0,-1384295796.0,-4680780321.0,1068105010.0,-635368021.0,-7848765210.0,7405127838.0,-15978410132.0,758013811.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,기타수취채권의 감소,Proceeds from sales of short-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,기타수취채권의 감소,38314466.0,102283320.0,80117002.0,21471338.0,4538681304.0,42555960.0,429833000.0,321916460.0,158516360.0,12049956.0,
