"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,2654323460355.0,3977045752111.0,3162551112304.0,1619673745793.0,515238214157.0,367691665784.0,271444768849.0,164984163232.0,126171155339.0,63897250205.0,57423646078.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,954298074590.0,1115975802114.0,356369658059.0,291816009381.0,136464984002.0,34641926232.0,15680179237.0,22712522686.0,21582510215.0,4530653520.0,1253996496.0
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,"Short-term deposits, not classified as cash equivalents",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융상품,74762498000.0,303070300000.0,35000000000.0,20750000000.0,21000000000.0,120000000.0,,,,,
ifrs-full_CurrentTradeReceivables,유동매출채권,Current trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,유동매출채권,248154589847.0,813140350443.0,952161151888.0,285512989887.0,98996200036.0,64676183873.0,,,,,
ifrs-full_CurrentContractAssets,계약자산,Current contract assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,계약자산,49880253673.0,56782938569.0,58165342367.0,,,20302277314.0,,,,,
ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,Other current financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,기타유동금융자산,71642923434.0,42090644669.0,230099717797.0,514445109375.0,8246058281.0,14362649233.0,910396827.0,16152540218.0,6305799946.0,1863368875.0,3978025178.0
ifrs-full_CurrentDerivativeFinancialAssets,파생상품자산,Current derivative asset,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,파생상품자산,7201030129.0,2955292214.0,59082313570.0,36609781.0,68600000.0,,,,,,
ifrs-full_OtherCurrentAssets,기타유동자산,Other current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,기타유동자산,113130701827.0,38828925592.0,201290875635.0,36980181236.0,22974054431.0,2344013521.0,3056842148.0,1788665426.0,1524216140.0,2617281366.0,3803128789.0
ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,당기법인세자산,4346598375.0,6682408146.0,27137610.0,41197050.0,17423140.0,618210.0,549530.0,139842577.0,5341830.0,31528523838.0,14556035.0
ifrs-full_Inventories,재고자산,Current inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,1130906790480.0,1597519090364.0,1270354915378.0,467391657702.0,226880894267.0,231243997401.0,165204747884.0,75677761868.0,60581410565.0,0.0,32570046489.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,,5483941102176.0,3579933022961.0,2183231490740.0,1780771227611.0,767926630582.0,560143219639.0,396069990343.0,283161381042.0,220185618263.0,156646753300.0,128066430377.0
