"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue,포괄손익계산서 [개요],매출액,,,3127853158129.0,7260200345722.0,5639741327318.0,1504191410850.0,850811989382.0,702272500906.0,669407171058.0,329012474711.0,170483367764.0,107266373827.0,83223657740.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [개요],매출원가,,,3205214368795.0,6756076724085.0,4844673246693.0,1272411326703.0,723868959602.0,592082562858.0,561195376473.0,273769149254.0,141696621355.0,89163970396.0,64567439694.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [개요],매출총이익,,,-77361210666.0,504123621637.0,795068080625.0,231780084147.0,126943029780.0,110189938048.0,108211794585.0,55243325457.0,28786746409.0,18102403431.0,18656218046.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [개요],판매비와관리비,,,215677487422.0,205951287395.0,181841593519.0,145823165797.0,63298301070.0,62384119124.0,45898318827.0,33461554775.0,18683946056.0,12290386959.0,11436973303.0
dart_OperatingIncomeLoss,영업이익,Operating income(loss),포괄손익계산서 [개요],영업이익,,,-293038698088.0,298172334242.0,613226487106.0,85956918350.0,63644728710.0,47805818924.0,62313475758.0,21781770682.0,10102800353.0,5812016472.0,7219244743.0
dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),포괄손익계산서 [개요],영업외손익,,,-93614054748.0,-153974792259.0,-306565079614.0,,,,,,,,
dart_OtherGains,기타수익,Other gains,포괄손익계산서 [개요],기타수익,,,16615202718.0,4135915558.0,4128484169.0,33750084459.0,13367398893.0,15794547055.0,5790104949.0,4058428144.0,4491153090.0,1056539194.0,687883674.0
dart_OtherLosses,기타비용,Other losses,포괄손익계산서 [개요],기타비용,,,14304711631.0,33657892520.0,237697310953.0,241753652344.0,14234308551.0,21956242038.0,13155385780.0,14481788613.0,12412580839.0,2709371734.0,1906910322.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [개요],금융수익,,,188957274229.0,251765307292.0,224465991364.0,9018780755.0,30894084878.0,9034438861.0,18993379515.0,425367504.0,1233845447.0,272589788.0,253594098.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [개요],금융원가,,,284881820064.0,376218122589.0,297462244194.0,58512238973.0,51717048510.0,25857351614.0,19513300918.0,7364850148.0,6016426587.0,5949673613.0,5213301767.0
dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실,Losses of associates and joint ventures accounted for using equity method,포괄손익계산서 [개요],지분법손실,,,,,44592511.0,,,,,,,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전손익,Profit (loss) before tax,포괄손익계산서 [개요],법인세비용차감전손익,,,-386652752836.0,144197541983.0,306616814981.0,-171540107753.0,41954855420.0,24821211188.0,54710309362.0,-1458778430.0,-6521463813.0,-605676023.0,439112105.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),포괄손익계산서 [개요],법인세비용,,,-91285719702.0,8928878193.0,86025164670.0,85231168527.0,-3017270516.0,12566818834.0,-8503650029.0,-1827907176.0,715252965.0,-795197094.0,1057240900.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [개요],당기순이익(손실),,,-295367033134.0,135268663790.0,220591650311.0,278561242483.0,55107797936.0,37363584377.0,46206659333.0,-3286685606.0,-7236716778.0,189521071.0,1496353005.0
ifrs-full_OtherComprehensiveIncome,당기 세후 기타포괄손익,Other comprehensive income,포괄손익계산서 [개요],당기 세후 기타포괄손익,,,102913619689.0,5098153006.0,-15877532539.0,-497138870.0,,5349105342.0,,,-540905577.0,-475719069.0,-233950297.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류 되지않는 세후기타포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],당기 세후 기타포괄손익,당기손익으로 재분류 되지않는 세후기타포괄손익,,-9002710144.0,-11079182990.0,-9598820529.0,-510931216.0,4244100988.0,5363481927.0,-5994870083.0,-571862203.0,-540905577.0,-475719069.0,-233950297.0
