"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,,,488829329203.0,80899715838.0,-518555082789.0,-144760006582.0,159124566581.0,-14998465323.0,12289033556.0,23652634852.0,3738712636.0,22017289583.0,14411642565.0
ifrs-full_CashFlowsFromUsedInOperations,영업으로부터 창출된 현금흐름,Cash flows from (used in) operations,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,영업으로부터 창출된 현금흐름,,558896000836.0,196086726985.0,-346083447047.0,-129988899234.0,160045859621.0,-8518026339.0,,,,,
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취,Dividends received,ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,배당금수취,,12213479123.0,85225138.0,,,,27562300.0,-84435545755.0,-23452252639.0,-27414287197.0,40312655.0,-8115867542.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,"Income taxes paid (refund), classified as operating activities",ifrs-full:StatementOfCashFlowsAbstract,영업활동현금흐름,법인세납부,,-82280150756.0,-115272236285.0,-172471635742.0,-14771107348.0,-921293040.0,-6480438984.0,-2189423385.0,-735296176.0,-214486747.0,-6219338.0,-14193859.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동 현금흐름,ash flows from (used in) investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,,,-1626261219014.0,-1467892601677.0,-444904946504.0,-404277527953.0,-224837846427.0,-215133943727.0,-106473863310.0,-102921940699.0,-98537366175.0,-32968361282.0,-17705272222.0
ifrs-full_InflowsOfCashFromInvestingActivities,투자활동으로부터의 현금유입,Inflows of cash from investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,,1165678655985.0,416232680678.0,357318920702.0,,,,,,,,
dart_ProceedsFromSalesOfInvestmentsInAssociates,관계기업에 대한 투자자산의 처분,Proceeds from sales of investments in associates,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,관계기업에 대한 투자자산의 처분,728280000.0,920000000.0,,,,,,1250000000.0,,,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,유형자산의 처분,25439950.0,128090292.0,185517048.0,4242500.0,28728218.0,145844621.0,33766249.0,20505840.0,685573484.0,15342200.0,66909091.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,무형자산의 처분,47686705.0,,350430830.0,,,1961787.0,477000000.0,,,,
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,정부보조금의 수령(투자),"Proceeds from government grants, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,정부보조금의 수령(투자),16381488623.0,6672817884.0,11105976099.0,10739828695.0,,,,,,,
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 처분,Proceeds from sales of short term Financial Instruments,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,단기금융상품의 처분,437882000000.0,189967107784.0,22553600000.0,36000000000.0,,,,,,,
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익인식금융자산의 처분,Proceeds from sales of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,당기손익인식금융자산의 처분,649270139198.0,189199080778.0,275832739394.0,600553790.0,,,,,,,
dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의처분,Proceeds from sales of financial assets at fair value through other comprehensive income,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,기타포괄손익-공정가치측정금융자산의처분,,298855968.0,1364966827.0,,,,,,,,
dart_ProceedsFromSalesOfOtherFinancialAssets,기타금융자산의 처분,Proceeds from sales of other financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,기타금융자산의 처분,12946019925.0,,21367697963.0,50013822941.0,2477105244.0,114122559409.0,11799533791.0,215252078.0,7496133542.0,852286351.0,1461388769.0
dart_AdjustmentsForDecreaseIncreaseInDerivativeAssets,파생상품자산의 감소(증가),Adjustments for decrease (increase) in derivative assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,파생상품자산의 감소(증가),4246449906.0,2755066831.0,184424022.0,-91150000.0,,,,,,,
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,임차보증금의 감소,964836798.0,1036901974.0,274890035.0,426475600.0,141640000.0,-77700000.0,,,,,
