"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,수익(매출액),,,558917191547.0,159008528366.0,327592058714.0,373169401913.0,257385897660.0,120377520384.0,217114859555.0,197300043409.0,166268021834.0,117791353740.0,192309639229.0,191549550782.0,173393985635.0,175815566090.0,221944530697.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,244394994634.0,79604579238.0,142555702958.0,192924061622.0,146712110669.0,70270546248.0,120278001429.0,108814402030.0,91469234371.0,63251287426.0,105824860305.0,139200029765.0,118274411151.0,124443276532.0,159652773540.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,314522196913.0,79403949128.0,185036355756.0,180245340291.0,110673786991.0,50106974136.0,96836858126.0,88485641379.0,74798787463.0,54540066314.0,86484778924.0,52349521017.0,55119574484.0,51372289558.0,62291757157.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,41275747991.0,28972848032.0,54910431420.0,39544571970.0,32191017641.0,23958366418.0,28880284718.0,28482132192.0,24069367269.0,22595941403.0,27276173741.0,28588575436.0,23338004098.0,23842378005.0,26246735225.0
ifrs-full_ResearchAndDevelopmentExpense,연구와 개발 비용,Research and development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,연구와 개발 비용,,,17854844068.0,15859690104.0,18266502256.0,18281302821.0,11833303035.0,12423245104.0,11167648516.0,8348343436.0,12174962612.0,9202468038.0,10123944644.0,10300328998.0,10608672169.0,10515503869.0,7532459326.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,255391604854.0,34571410992.0,111859422080.0,122419465500.0,66649466315.0,13725362614.0,56788924892.0,51655165751.0,38554457582.0,22741656873.0,49084660539.0,13460616583.0,21172898217.0,17014407684.0,28512562606.0
dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,2822640774.0,300256406809.0,5622842109.0,1065468187.0,5057147077.0,11984411599.0,1746011640.0,2267761650.0,2380503551.0,1656048828.0,1685642407.0,1286548026.0,11947000064.0,783373839.0,826761706.0
dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,88370636180.0,1634208906.0,1508087362.0,200002755.0,609378815.0,436608627.0,45124274.0,66150667.0,310182946.0,682119865.0,405893320.0,512074115.0,1124068000.0,212379711.0,174022517.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,34491545262.0,17869000863.0,20256659783.0,12415171107.0,5473945396.0,3023021684.0,7274199960.0,2958450956.0,9268494475.0,4406556056.0,7090870659.0,5631474626.0,4657940638.0,5408539883.0,24462242522.0
