"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,,141363819580.0,44990807438.0,109501808221.0,52279090690.0,37483996929.0,27170525034.0,45626978011.0,36015991397.0,38100568069.0,35703756722.0,28229691034.0,12227083948.0,36396765863.0,-7278676840.0,14019548788.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익(손실),,152614498001.0,267167515858.0,92259257411.0,104438304265.0,50131485364.0,19262572161.0,49272961449.0,9500246912.0,31445454320.0,21798920484.0,29822275252.0,11151940028.0,24430769996.0,16514400253.0,35499597666.0
ifrs-full_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,,138379942953.0,-226713321471.0,63123198882.0,41220740302.0,24554774350.0,5603697118.0,21312863919.0,48549060665.0,15721685142.0,11052297910.0,34761292903.0,16853605687.0,5549846045.0,7351106633.0,-3104221534.0
dart_AdjustmentsForWritedownsOfInventories,재고자산평가손실 조정,Adjustments for write-downs of inventories,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,재고자산평가손실 조정,9654417543.0,2706748342.0,5085220261.0,1230680078.0,2638031669.0,1158398412.0,2635839987.0,-30757355.0,840136482.0,152333996.0,534849559.0,943749368.0,1579455067.0,38174528.0,34390726.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여 조정,Adjustments for provision for severance indemnities,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,퇴직급여 조정,2172312780.0,2063859852.0,2219766960.0,1855379796.0,1947285336.0,1901982468.0,2304983988.0,2423294844.0,2270501100.0,2499733206.0,6181320528.0,6877203212.0,2229459583.0,2192933578.0,1866653467.0
ifrs-full_AdjustmentsForDepreciationExpense,감가상각비에 대한 조정,Adjustments for depreciation expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,감가상각비에 대한 조정,9540438282.0,8334344265.0,8391371700.0,6101121932.0,5714618954.0,6002183966.0,4648109221.0,4591403518.0,4297540303.0,4202675049.0,5173724747.0,4807824099.0,4433344811.0,4044677541.0,3333212756.0
dart_AdjustmentsForBadDebtExpenses,대손상각비 조정,Adjustments for bad debt expenses,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,대손상각비 조정,-9109315260.0,-7565505197.0,14286657306.0,2299386729.0,805010131.0,-453507260.0,184441301.0,-267436336.0,200075639.0,203401562.0,-96351816.0,0.0,122472972.0,112448529.0,0.0
ifrs-full_AdjustmentsForAmortisationExpense,무형자산상각비에 대한 조정,Adjustments for amortisation expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산상각비에 대한 조정,231569353.0,314304809.0,361252471.0,372075224.0,418257974.0,442206042.0,384486991.0,359402427.0,407982728.0,363905912.0,299171141.0,277031724.0,350966500.0,362561709.0,351147693.0
dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익 조정,Adjustments for gain on disposition of tangible assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분이익 조정,-49109323.0,-88235708.0,-84740491.0,-191067090.0,65259949.0,3481632393.0,373349271.0,67951726.0,568699985.0,33304377.0,-16667914.0,-26077059.0,-56771244.0,-19803396.0,-61531992.0
dart_AdjustmentsForLossesOnDispositionOfPropertyPlantAndEquipment,유형자산처분손실 조정,Adjustments for losses on disposition of property plant and equipment,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분손실 조정,58558737.0,1057831039.0,147782085.0,8300006.0,48702918.0,304820209.0,1000.0,11176538.0,112101663.0,104820070.0,16057827.0,241906650.0,258663539.0,166300938.0,21090192.0
entity00161383_AdjustmentsForGainsOnDisposalsOfRightOfUseAssetsOfAdjustmentsForReconcileProfitLoss,사용권자산처분이익 조정,Adjustments for gains on disposals of right-of-use assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,사용권자산처분이익 조정,-14397749.0,-1109850.0,,0.0,,,,,,,,,,,
entity00161383_AdjustmentsForLossesOnDisposalsOfRightOfUseAssetsOfAdjustmentsForReconcileProfitLoss,사용권자산처분손실 조정,Adjustments for losses on disposals of right-of-use assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,사용권자산처분손실 조정,,131589945.0,,0.0,,,,,,,,,,,
dart_AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실 조정,Adjustments for losses on disposals of intangible assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산처분손실 조정,601120.0,3269930.0,1661500.0,5999.0,48031.0,28224827.0,33944784.0,19696009.0,2000.0,24547433.0,816580.0,643000.0,7619182.0,0.0,0.0
dart_AdjustmentsForImpairmentLossesOfIntangibleAssets,무형자산손상차손 조정,Adjustments for impairment losses of intangible assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산손상차손 조정,20290360.0,,130456524.0,116596533.0,0.0,0.0,,25000000.0,155666668.0,200467989.0,360131100.0,0.0,802131780.0,0.0,0.0
entity00161383_AdjustmentsForGainsFromRedemptionOfLeaseOfAdjustmentsForReconcileProfitLoss,리스상환이익 조정,Adjustments for Gains from redemption of lease,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,리스상환이익 조정,,,,,,,,,,,,,,,
ifrs-full_AdjustmentsForInterestIncome,이자수익에 대한 조정,Adjustments for interest income,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,이자수익에 대한 조정,-5557288433.0,-4622661627.0,-759082909.0,-62325309.0,339911045.0,511479290.0,397988773.0,878607404.0,289861123.0,558300943.0,-901946357.0,-1166700709.0,-674658877.0,-342978714.0,-725645560.0
dart_AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익 조정,Adjustments for gain on foreign exchange translations,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,외화환산이익 조정,-9985461719.0,-4511330578.0,-1945855537.0,-3047949428.0,992484735.0,270329992.0,40884576.0,523342022.0,3861933961.0,742421742.0,-1443696844.0,-960430010.0,-1681822037.0,-1195927484.0,-72281036.0
dart_AdjustmentsForGainsOnEvaluationOfFairValueFinancialAssets,당기손익인식금융자산평가이익 조정,Adjustments for gains on evaluation of fair value financial assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,당기손익인식금융자산평가이익 조정,-965400000.0,-207081242600.0,,-0.0,0.0,0.0,506400000.0,0.0,0.0,,,,,,
dart_AdjustmentsForLossesOnEvaluationOfFairValueFinancialAssets,당기손익인식금융자산평가손실 조정,Adjustments for losses on evaluation of fair value financial assets,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,당기손익인식금융자산평가손실 조정,70757540100.0,,,,424800000.0,211200000.0,0.0,0.0,,,,,,,
dart_AdjustmentsForGainsOnDisposalsOfInvestmentsInAssociates,종속기업/관계기업/공동기업투자처분이익,Adjustments for gains on disposals of investments in associates,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,종속기업/관계기업/공동기업투자처분이익,,-71411764027.0,,0.0,,,,1201015960.0,212881827.0,2015698206.0,-1965334337.0,-165549477.0,-463032135.0,0.0,89457000.0
dart_AdjustmentsForLossesOnDisposalsofInvestmentsInAssociates,종속기업/관계기업/공동기업투자처분손실,Adjustments for losses on disposals of investments in associates,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,종속기업/관계기업/공동기업투자처분손실,,,1129059749.0,0.0,0.0,,,933725341.0,2115061692.0,507084138.0,870811094.0,1299880357.0,726277055.0,-2319068304.0,-197313208.0
