"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231,20090101-20091231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,11240121484118.0,7889686804711.0,7060393209984.0,5541389141271.0,5321444270673.0,5264114375095.0,4453176623308.0,4215471442145.0,3518876664698.0,2613405506139.0,2615618108499.0,2629768827621.0,2630648139599.0,2947529052676.0,2924031630351.0,2691328256004.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,8370268279539.0,6461534940699.0,5548604179441.0,4522973114016.0,4251094647282.0,4242318189013.0,3655168285090.0,3447049987324.0,2802450654703.0,2096594209821.0,2049469082028.0,2008918355592.0,2009423356777.0,2402780934879.0,2324164495369.0,2230305539092.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2869853204579.0,1428151864012.0,1511789030543.0,1018416027255.0,1070349623391.0,1021796186082.0,798008338218.0,768421454821.0,716426009995.0,516811296318.0,566149026471.0,620850472029.0,621224782822.0,544748117797.0,599867134982.0,461022716912.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,1036021042102.0,734845022544.0,907681546844.0,620326966768.0,666812996876.0,683094152644.0,592366403498.0,520657255475.0,391306385231.0,371907177256.0,370478378891.0,331625782990.0,295743860311.0,311831771123.0,251684343329.0,165095634203.0
ifrs-full_ResearchAndDevelopmentExpense,연구와 개발 비용,Research and development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,연구와 개발 비용,,,101953337135.0,99000737552.0,203762060475.0,120995770605.0,159589567969.0,173476098695.0,152464595594.0,164855627532.0,174393208535.0,204464387122.0,187809423275.0,193189777248.0,178647687022.0,143556877292.0,132509487352.0,89054099859.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,1731878825342.0,594306103916.0,400345423224.0,277093289882.0,243947058546.0,165225934743.0,53177339126.0,82908571814.0,150726416229.0,-59560268060.0,7861224305.0,96034911791.0,146833235489.0,89359469382.0,215673304301.0,220183101926.0
dart_OtherGains,기타수익,OtherGains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,1489464089069.0,107531271097.0,209815197662.0,77558581047.0,123989579698.0,104834207081.0,95885076541.0,77475288655.0,363690048838.0,63101895989.0,70539913797.0,44652572908.0,42171690006.0,218515158368.0,59360441914.0,81725692309.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,557940476621.0,350578179291.0,242757943363.0,112587535041.0,119421912408.0,74086304266.0,68133922362.0,133408834355.0,83173094659.0,55075001449.0,102491747588.0,43076068998.0,39689544898.0,56025139460.0,47056209854.0,68415573233.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,373540183704.0,1131198523451.0,114766317537.0,133110312896.0,42488244448.0,30887518997.0,26188140102.0,23442697434.0,16731826057.0,10275432585.0,11384244831.0,8812353684.0,11356152648.0,4256859739.0,4944888809.0,11074922376.0
