"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231,20090101-20091231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,1392972633695.0,1390220003982.0,1524327091276.0,990006043035.0,434749594569.0,715142993168.0,56342753665.0,-9741475193.0,196055181841.0,-37529636420.0,11388469924.0,219329586983.0,146832705792.0,65216098629.0,128599562866.0,213420795021.0
entity00126566_CashFlowsFromUsedInOperatingActivitiesOfCashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금흐름,Cash Flows From Used In Operating Activities,현금흐름표 [개요],영업활동현금흐름,영업으로부터 창출된 현금흐름,1799146715204.0,1608990225748.0,1710254671005.0,1102948081150.0,525794916806.0,776292442006.0,208363476974.0,90527735891.0,262094911942.0,-11854127388.0,46600768662.0,,,,,
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자수취,68042580125.0,78120482994.0,41470077820.0,14348078374.0,13552614308.0,13735806493.0,8628263681.0,4463665913.0,8434256564.0,3409345682.0,6208825496.0,6651061266.0,7608381748.0,2151168614.0,3137624814.0,8648115042.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,"Interest paid, classified as operating activities",현금흐름표 [개요],영업활동현금흐름,이자지급,-255708791867.0,-157047065272.0,-80546862942.0,-63293355339.0,-61736701648.0,-52830348171.0,-42178151615.0,-31658414314.0,-15726438982.0,-16627575413.0,-20203626336.0,-25804225564.0,-34319273317.0,-33053614593.0,-27485604847.0,-27916126063.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부,"Income taxes paid (refund), classified as operating activities",현금흐름표 [개요],영업활동현금흐름,법인세납부,-218507869767.0,-139843639488.0,-146850794607.0,-63996761150.0,-42861234897.0,-22054907160.0,-118470835375.0,-73074462683.0,-58747547683.0,-12457279301.0,-21217497898.0,-17678602151.0,-18989368588.0,-35018132756.0,-37193452395.0,-8400846881.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,-1367342115648.0,-3029123757458.0,-1224902801445.0,-607074381744.0,-298733677419.0,-643527346182.0,-213054319965.0,72610488087.0,-718306035536.0,177644791173.0,-102932796792.0,-38088375557.0,-61244470400.0,57998652732.0,-512980645255.0,-45651420842.0
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품의 감소,Proceeds from sales of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 감소,83134226124.0,110326533225.0,221328793493.0,194400268844.0,112406321621.0,11895078981.0,,,,,,,,,,
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 감소,2400000000.0,2405044734.0,1500000.0,787003144.0,480000000.0,2000000.0,,,,,,,,,,
dart_DecreaseInLoans,대여금의 감소,Decrease in loans,현금흐름표 [개요],투자활동현금흐름,대여금의 감소,5340512434.0,7716972416.0,2785301977.0,1320907955.0,2040938601.0,1273167601.0,12435444617.0,5987367613.0,1476271917.0,19655277036.0,4320377892.0,419635959.0,513255765.0,378101131.0,226945512.0,118713289.0
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [개요],투자활동현금흐름,임차보증금의 감소,6036918669.0,13671181639.0,2959992760.0,2748323971.0,7820585525.0,4219302358.0,6375319630.0,8987222626.0,5800540801.0,9576567993.0,7921779248.0,7661606721.0,5795239353.0,8408505289.0,6781338759.0,15951985771.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익인식금융자산의 처분,Proceeds from sales of fair value financial asset,현금흐름표 [개요],투자활동현금흐름,당기손익인식금융자산의 처분,35700000000.0,12701976953.0,2159061840.0,843257231.0,6596830171.0,323936478.0,,334899352232.0,10615272537.0,,,,,,,
dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의처분,Proceeds from sales of financial assets at fair value through other comprehensive income,현금흐름표 [개요],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의처분,31007571713.0,790003200.0,0.0,0.0,,,,,,,,,,,,
dart_AdjustmentsForIncreasedecreaseInLongTermOtherPayables,장기미지급금의 증가(감소),Adjustments for increase (decrease) in long-term other payables,현금흐름표 [개요],투자활동현금흐름,장기미지급금의 증가(감소),,0.0,0.0,,,,,,,,,8782954476.0,7203761394.0,9086415642.0,20135106285.0,50076271393.0
dart_ProceedsFromSalesOfInvestmentsInSubsidiaries,종속기업에 대한 투자자산의 처분,Proceeds from sales of investments in subsidiaries,현금흐름표 [개요],투자활동현금흐름,종속기업에 대한 투자자산의 처분,,,187500448563.0,0.0,0.0,,,,,,,,,,,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 처분,1666563050.0,3165692084.0,5151212482.0,5599312257.0,2111688041.0,3297494469.0,1406385329.0,1577365351.0,1205338604.0,4491661538.0,1360441241.0,6409689993.0,5125429635.0,8555709344.0,7662915614.0,6595352624.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 처분,26443958548.0,16333265.0,0.0,3419206413.0,2147276723.0,851904712.0,117876400.0,116360000.0,1554636363.0,3891636364.0,1167043357.0,512490386.0,1000000000.0,,,102341818.0
dart_ProceedsFromSalesOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,Proceeds from sales of non-current assets or disposal groups classified as held for sale,현금흐름표 [개요],투자활동현금흐름,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분,,0.0,0.0,440601700.0,17737391614.0,0.0,62787258098.0,,52220417532.0,,,,,,,
entity00126566_DecreaseInDerivativesOfCashFlowsFromUsedInInvestingActivities,파생상품의 감소,Decrease in Derivatives,현금흐름표 [개요],투자활동현금흐름,파생상품의 감소,69147023155.0,11309897258.0,6512058823.0,783600000.0,-1781620000.0,0.0,,,,,,,,,,
entity00126566_IncreaseInDerivativesOfCashFlowsFromUsedInInvestingActivities,파생상품의 증가,Increase in Derivatives,현금흐름표 [개요],투자활동현금흐름,파생상품의 증가,0.0,-7006922984.0,0.0,-0.0,1390700000.0,-316080000.0,,,7177300000.0,,,,,,,
ifrs-full_DividendsReceivedClassifiedAsInvestingActivities,배당금수취,Dividends received,현금흐름표 [개요],투자활동현금흐름,배당금수취,3500056819.0,2821239023.0,17099112624.0,2613633576.0,2793525463.0,4964046704.0,4239988873.0,8261359986.0,10600378329.0,22399886428.0,9276328088.0,8724356878.0,7719127183.0,8591770355.0,17170835583.0,1890955499.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 취득,-250090187083.0,-71054419105.0,-295495710570.0,-217295061868.0,52099062387.0,92216105699.0,15541708176.0,,,,,,,,,
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 취득,-11346819314.0,-13296283441.0,48196938040.0,-5190729647.0,6913769693.0,4009386228.0,1497686883.0,3889786842.0,1000000000.0,,,,,,,
dart_PurchaseOfInvestmentsInAssociates,관계기업에 대한 투자자산의 취득,Purchase of investments in associates,현금흐름표 [개요],투자활동현금흐름,관계기업에 대한 투자자산의 취득,-397048980000.0,-2374345141091.0,-6021718000.0,-72945733120.0,0.0,0.0,4011264051.0,9563648442.0,892092262081.0,66132982.0,,,,,,
dart_PurchaseOfFairValueFinancialAsset,당기손익인식금융자산의 취득,Purchase of fair value financial asset,현금흐름표 [개요],투자활동현금흐름,당기손익인식금융자산의 취득,-71942787835.0,-55167378789.0,-324727373235.0,-122001527249.0,15802402475.0,4250050267.0,1029895000.0,,,,,,,,,
dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산의취득,Purchase of financial assets at fair value through other comprehensive income,현금흐름표 [개요],투자활동현금흐름,기타포괄손익-공정가치측정금융자산의취득,-199837213880.0,-7471679057.0,-370721976055.0,-57078918767.0,-0.0,1279636093.0,15172720.0,,,,,,,,,
entity00126566_IncreaseDecreaseOfOtherNoncurrentAssetsOfCashFlowsFromUsedInInvestingActivities,기타비유동자산의 증감,Increase Decrease Of Other Noncurrent Assets,현금흐름표 [개요],투자활동현금흐름,기타비유동자산의 증감,13468320046.0,-740087449.0,398445537.0,225310875.0,0.0,30409647075.0,39153449457.0,18776035777.0,36983232568.0,1474179053.0,3193329239.0,11581280142.0,7805661736.0,3170637250.0,2689532105.0,3944274850.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 취득,-578204897971.0,-453364797879.0,-196739344483.0,-166102879971.0,-189391880011.0,-153837340013.0,-172482612299.0,-141621843109.0,-89134253239.0,-41882538440.0,-113670518111.0,-46917877654.0,-45843311819.0,-56614582773.0,-170590990072.0,-130585595964.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 취득,-175429175487.0,-117815341248.0,-148033805196.0,-162175622782.0,-141176263364.0,-145388062319.0,-107695168641.0,-82019639604.0,-69490990406.0,-22818154541.0,-20771440784.0,-2346359821.0,-1948221223.0,-3110844346.0,-10565526815.0,-24715429334.0
dart_IncreaseInLoans,대여금의 증가,Increase in loans,현금흐름표 [개요],투자활동현금흐름,대여금의 증가,-5088701520.0,-10051814758.0,-6597530527.0,-2810212550.0,5891159831.0,1038406087.0,1765505211.0,5247036019.0,437127646.0,401762585.0,2455139527.0,697499415.0,7828083595.0,12916431770.0,640224115.0,478235210.0
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [개요],투자활동현금흐름,임차보증금의 증가,-7426162300.0,-11473915969.0,-29941252443.0,-8228292256.0,5159904381.0,5676533467.0,6331457880.0,9227672497.0,3611902255.0,8399995454.0,7623147646.0,9288371223.0,12010111342.0,9285840985.0,6366403561.0,17641362698.0
entity00126566_CashFlowsFromBusinessCombinationsOfCashFlowsFromUsedInInvestingActivities,사업결합으로 인한 현금유출입,Cash Flows from business combinations,현금흐름표 [개요],투자활동현금흐름,사업결합으로 인한 현금유출입,57127659184.0,2739150515.0,-354546125615.0,-6426829500.0,-8832240000.0,-231165137501.0,42970048267.0,,,,,,,,,
entity00126566_AcquisitionOfBusinessSectorAssetsEtcOfCashFlowsFromUsedInInvestingActivities,사업부문자산 등의 취득,"Acquisition of Business Sector Assets,etc",현금흐름표 [개요],투자활동현금흐름,사업부문자산 등의 취득,5900000000.0,75000000000.0,-13829168540.0,-0.0,0.0,1400052736.0,236134154909.0,1287850461.0,30000000000.0,,118858000000.0,,,,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [개요],재무활동현금흐름,,1065666102189.0,367755351264.0,216124466764.0,813147668717.0,198970902824.0,289351655304.0,332716668877.0,140433513944.0,637944435466.0,-91762147522.0,-89659465478.0,-143159743518.0,-29243335177.0,-48245967701.0,223440888062.0,79710510529.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 증가,Proceeds from short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 증가,8462532799585.0,2596755842734.0,1752235922106.0,1503028743609.0,1833751118380.0,1434098694901.0,765658600000.0,1183869080000.0,465427616990.0,206515860394.0,141257945128.0,,321200000.0,420561000.0,111162832024.0,6392950000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 증가,Proceeds from long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 증가,513246733600.0,338780957812.0,266452727816.0,332906263403.0,278994342682.0,465970104442.0,255265358537.0,166169070738.0,382235278000.0,54383000000.0,251000000.0,8581157000.0,,81916970000.0,200574600000.0,399362700000.0
dart_ProceedsFromBonds,사채의 증가,Proceeds from bonds,현금흐름표 [개요],재무활동현금흐름,사채의 증가,1157931678553.0,468301205400.0,38175233000.0,398523920000.0,205652328500.0,478475688400.0,243336090000.0,29906420000.0,318841700000.0,99568700000.0,,149430864909.0,199260600000.0,150000000000.0,200574600000.0,2973000000.0
entity00126566_NetIncreaseOrDecreaseInLiquidityBorrowingsOfCashFlowsFromUsedInFinancingActivities,유동성차입금(Nego)의 순증감,Net increase or decrease in liquidity borrowings,현금흐름표 [개요],재무활동현금흐름,유동성차입금(Nego)의 순증감,-0.0,-33135580113.0,4739721696.0,31600889722.0,-17494536059.0,-55720505857.0,-65169032997.0,17945816469.0,11338615649.0,-90303834380.0,18866852317.0,9661009732.0,32127531534.0,,52229102964.0,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 상환,7535875968205.0,2193196593764.0,1357757371211.0,-1435171365987.0,1730986309483.0,1473149135785.0,735305000000.0,1198999920000.0,371579195173.0,150000000000.0,-70000000000.0,,-22750000000.0,,-1526000000.0,
dart_RepaymentsOfLongTermBorrowings,장기차입금의 감소,Repayments of long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 감소,-212948364540.0,-39426199674.0,-30673351804.0,-200791825478.0,10589315625.0,56962150000.0,,,,,,,,,,
entity00126566_udf_CF_2024316203110492OfCashFlowsFromUsedInFinancingActivities,유동성차입금(기타)의 감소,Repayment of liquidity borrowings,현금흐름표 [개요],재무활동현금흐름,유동성차입금(기타)의 감소,-581805880000.0,-319146421802.0,-154666945585.0,-133894258502.0,-244680686664.0,242450706664.0,114409438000.0,32850220000.0,2380580000.0,11319400000.0,3104630000.0,83317812985.0,210832969026.0,203737167154.0,102451110000.0,188149638024.0
dart_RepaymentsOfBonds,사채의 감소,Repayments of bonds,현금흐름표 [개요],재무활동현금흐름,사채의 감소,-520000000000.0,-328365000000.0,-220000000000.0,-237640000000.0,40000000000.0,310000000000.0,,,150000000000.0,200000000000.0,150000000000.0,200000000000.0,,,,
dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,금융리스부채의 감소,"Payments of finance lease liabilities, classified as financing activities",현금흐름표 [개요],재무활동현금흐름,금융리스부채의 감소,-50137813530.0,-45606729659.0,-35873898701.0,-32424245388.0,-31838598898.0,-25169134816.0,,,,,,,,,,
dart_RepaymentsOfConvertibleInstruments,상환전환우선주부채의 상환,Repayments of convertible instruments,현금흐름표 [개요],재무활동현금흐름,상환전환우선주부채의 상환,-0.0,-2345231274.0,,-0.0,,,,,,,,,,,,
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,현금흐름표 [개요],재무활동현금흐름,임대보증금의 증가,652855500.0,,,,,,,,,,,,,,,
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [개요],재무활동현금흐름,임대보증금의 감소,-1596073970.0,-213283365.0,,-0.0,,,,,,,,,,,,
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [개요],재무활동현금흐름,배당금지급,-119752317850.0,-50569412000.0,-35398588400.0,-30365737200.0,-17431420589.0,-7714626081.0,-494952423.0,,-15939000000.0,-606473536.0,-27016765167.0,-27548221160.0,-27433843725.0,-43169188537.0,-37229961418.0,-30686875200.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득으로 인한 현금의 유출,Acquisition of treasury shares,현금흐름표 [개요],재무활동현금흐름,자기주식의 취득으로 인한 현금의 유출,-19041232579.0,,-0.0,-1716275280.0,25666728960.0,15526671000.0,16219102940.0,25035168520.0,,,,,,,,2497502200.0
ifrs-full_ProceedsFromChangesInOwnershipInterestsInSubsidiaries,비지배지분의 변동,Proceeds from changes in ownership interests in subsidiaries that do not result in loss of control,현금흐름표 [개요],재무활동현금흐름,비지배지분의 변동,248287204719.0,-24078203031.0,-11108982153.0,619091559818.0,-739290460.0,97500097764.0,54146700.0,-571564743.0,,,,,,,,
entity00126566_CashFlowDueToSpinOffOfCashFlowsFromUsedInFinancingActivities,인적분할로 인한 현금 유출입,Cash flow due to spin-off,현금흐름표 [개요],재무활동현금흐름,인적분할로 인한 현금 유출입,-275827519094.0,,0.0,,,,,,,,,,,,,
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [개요],환율변동효과 반영전 현금및현금성자산의 순증가(감소),,1091296620236.0,-1271148402212.0,515548756595.0,1196079330008.0,334986819974.0,360967302290.0,176005102577.0,203302526838.0,115693581771.0,48353007231.0,-181203792346.0,38081467908.0,56344900215.0,74968783660.0,-160940194327.0,247479884708.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [개요],기초현금및현금성자산,,1806358649283.0,3069829737554.0,2528070087946.0,1330706432193.0,1000121610062.0,636721974889.0,461379841501.0,257418395798.0,142699403289.0,94267893056.0,275867487077.0,239035257051.0,187847601559.0,111803138822.0,273182698040.0,188541721602.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [개요],현금및현금성자산에 대한 환율변동효과,,70078153410.0,7677313941.0,26210893013.0,7698322997.0,-4401997843.0,2432332883.0,-662969189.0,658918865.0,-974589262.0,78503002.0,-395801675.0,-1249237882.0,-5157244723.0,1075679077.0,-439364891.0,-3504639901.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [개요],기말현금및현금성자산,,2967733422929.0,1806358649283.0,3069829737554.0,2528070087946.0,1330706432193.0,1000121610062.0,636721974889.0,461379841501.0,257418395798.0,142699403289.0,94267893056.0,275867487077.0,239035257051.0,187847601559.0,111803138822.0,273182698040.0
