"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue,ifrs-full:IncomeStatementAbstract,매출액,,175231153000000.0,162663579000000.0,142151469000000.0,117610626000000.0,103997601000000.0,105746422000000.0,96812609000000.0,96376079000000.0,93649024000000.0,91958736000000.0,89256319000000.0,87307636000000.0,84469721000000.0,77797895000000.0,66985271000000.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:IncomeStatementAbstract,매출원가,,139481946000000.0,129179183000000.0,113879569000000.0,95680131000000.0,85515931000000.0,88091409000000.0,81670479000000.0,78798172000000.0,75959720000000.0,73701296000000.0,70126276000000.0,67859491000000.0,64967273000000.0,58892979000000.0,51265794000000.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:IncomeStatementAbstract,매출총이익,,35749207000000.0,33484396000000.0,28271900000000.0,21930495000000.0,18481670000000.0,17655013000000.0,15142130000000.0,17577907000000.0,17689304000000.0,18257440000000.0,19130043000000.0,19448145000000.0,19502448000000.0,18904916000000.0,15719477000000.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:IncomeStatementAbstract,판매비와관리비,,21509615000000.0,18357495000000.0,18446972000000.0,15251546000000.0,16086999000000.0,14049508000000.0,12719965000000.0,13003240000000.0,12495804000000.0,11899534000000.0,11580057000000.0,11132648000000.0,11061847000000.0,10863393000000.0,9833517000000.0
dart_OperatingIncomeLoss,영업이익,Operating income,ifrs-full:IncomeStatementAbstract,영업이익,,14239592000000.0,15126901000000.0,9824928000000.0,6678949000000.0,2394671000000.0,3605505000000.0,2422165000000.0,4574667000000.0,5193500000000.0,6357906000000.0,7549986000000.0,8315497000000.0,8440601000000.0,8041523000000.0,5885960000000.0
entity00164742_GainOnInvestmentsInJointVenturesAndAssociatesNetOfIncomeStatementAbstract,공동기업및관계기업투자손익,"Gain on investments in joint ventures and associates, net",ifrs-full:IncomeStatementAbstract,공동기업및관계기업투자손익,,3114032000000.0,2470933000000.0,1557630000000.0,1303365000000.0,162162000000.0,542826000000.0,404541000000.0,225053000000.0,1729447000000.0,1930675000000.0,2388658000000.0,3057109000000.0,2581564000000.0,2409350000000.0,
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:IncomeStatementAbstract,금융수익,,1531248000000.0,1559538000000.0,985893000000.0,912802000000.0,813916000000.0,827120000000.0,823499000000.0,972943000000.0,1111238000000.0,831376000000.0,881883000000.0,805261000000.0,969726000000.0,747546000000.0,688335000000.0
ifrs-full_FinanceCosts,금융비용,Finance cost,ifrs-full:IncomeStatementAbstract,금융비용,,898551000000.0,970700000000.0,879638000000.0,548410000000.0,955991000000.0,475218000000.0,600867000000.0,1120386000000.0,678037000000.0,713452000000.0,601019000000.0,552709000000.0,624473000000.0,779666000000.0,797156000000.0
dart_OtherGains,기타수익,Other gains,ifrs-full:IncomeStatementAbstract,기타수익,,2067530000000.0,1782333000000.0,1930914000000.0,1447261000000.0,1308642000000.0,1120958000000.0,967281000000.0,1153744000000.0,1177887000000.0,1255105000000.0,1039865000000.0,1138001000000.0,1231360000000.0,1030593000000.0,1127986000000.0
